tensor_file,translation
video_182.pt,serve the food
video_183.pt,serve the food
video_184.pt,which collegeschool are you from
video_185.pt,which collegeschool are you from
video_186.pt,where are you from
video_187.pt,where are you from
video_188.pt,i do not agree
video_189.pt,i do not agree
video_190.pt,wear the shirt
video_191.pt,wear the shirt
video_192.pt,he she is my friend
video_193.pt,he she is my friend
video_194.pt,are you hiding something
video_195.pt,are you hiding something
video_196.pt,letter_n
video_197.pt,letter_n
video_198.pt,letter_n
video_199.pt,letter_n
video_200.pt,letter_n
video_201.pt,letter_n
video_202.pt,letter_n
video_203.pt,letter_7
video_204.pt,letter_7
video_205.pt,letter_7
video_206.pt,letter_7
video_207.pt,letter_7
video_208.pt,letter_7
video_209.pt,letter_7
video_210.pt,letter_r
video_211.pt,letter_r
video_212.pt,letter_r
video_213.pt,letter_r
video_214.pt,letter_r
video_215.pt,letter_r
video_216.pt,letter_r
video_217.pt,letter_2
video_218.pt,letter_2
video_219.pt,letter_2
video_220.pt,letter_2
video_221.pt,letter_2
video_222.pt,letter_2
video_223.pt,letter_2
video_224.pt,letter_b
video_225.pt,letter_b
video_226.pt,letter_b
video_227.pt,letter_b
video_228.pt,letter_b
video_229.pt,letter_b
video_230.pt,letter_b
video_231.pt,letter_i
video_232.pt,letter_i
video_233.pt,letter_i
video_234.pt,letter_i
video_235.pt,letter_i
video_236.pt,letter_i
video_237.pt,letter_i
video_238.pt,letter_f
video_239.pt,letter_f
video_240.pt,letter_f
video_241.pt,letter_f
video_242.pt,letter_f
video_243.pt,letter_f
video_244.pt,letter_f
video_245.pt,letter_h
video_246.pt,letter_h
video_247.pt,letter_h
video_248.pt,letter_h
video_249.pt,letter_h
video_250.pt,letter_h
video_251.pt,letter_h
video_252.pt,letter_5
video_253.pt,letter_5
video_254.pt,letter_5
video_255.pt,letter_5
video_256.pt,letter_5
video_257.pt,letter_5
video_258.pt,letter_5
video_259.pt,letter_e
video_260.pt,letter_e
video_261.pt,letter_e
video_262.pt,letter_e
video_263.pt,letter_e
video_264.pt,letter_e
video_265.pt,letter_e
video_266.pt,letter_u
video_267.pt,letter_u
video_268.pt,letter_u
video_269.pt,letter_u
video_270.pt,letter_u
video_271.pt,letter_u
video_272.pt,letter_u
video_273.pt,letter_m
video_274.pt,letter_m
video_275.pt,letter_m
video_276.pt,letter_m
video_277.pt,letter_m
video_278.pt,letter_m
video_279.pt,letter_m
video_280.pt,letter_8
video_281.pt,letter_8
video_282.pt,letter_8
video_283.pt,letter_8
video_284.pt,letter_8
video_285.pt,letter_8
video_286.pt,letter_8
video_287.pt,letter_x
video_288.pt,letter_x
video_289.pt,letter_x
video_290.pt,letter_x
video_291.pt,letter_x
video_292.pt,letter_x
video_293.pt,letter_x
video_294.pt,letter_k
video_295.pt,letter_k
video_296.pt,letter_k
video_297.pt,letter_k
video_298.pt,letter_k
video_299.pt,letter_k
video_300.pt,letter_k
video_301.pt,letter_q
video_302.pt,letter_q
video_303.pt,letter_q
video_304.pt,letter_q
video_305.pt,letter_q
video_306.pt,letter_q
video_307.pt,letter_q
video_308.pt,letter_y
video_309.pt,letter_y
video_310.pt,letter_y
video_311.pt,letter_y
video_312.pt,letter_y
video_313.pt,letter_y
video_314.pt,letter_y
video_315.pt,letter_s
video_316.pt,letter_s
video_317.pt,letter_s
video_318.pt,letter_s
video_319.pt,letter_s
video_320.pt,letter_s
video_321.pt,letter_s
video_322.pt,letter_g
video_323.pt,letter_g
video_324.pt,letter_g
video_325.pt,letter_g
video_326.pt,letter_g
video_327.pt,letter_g
video_328.pt,letter_g
video_329.pt,letter_a
video_330.pt,letter_a
video_331.pt,letter_a
video_332.pt,letter_a
video_333.pt,letter_a
video_334.pt,letter_a
video_335.pt,letter_a
video_336.pt,letter_o
video_337.pt,letter_o
video_338.pt,letter_o
video_339.pt,letter_o
video_340.pt,letter_o
video_341.pt,letter_o
video_342.pt,letter_o
video_343.pt,letter_t
video_344.pt,letter_t
video_345.pt,letter_t
video_346.pt,letter_t
video_347.pt,letter_t
video_348.pt,letter_t
video_349.pt,letter_t
video_350.pt,letter_v
video_351.pt,letter_v
video_352.pt,letter_v
video_353.pt,letter_v
video_354.pt,letter_v
video_355.pt,letter_v
video_356.pt,letter_v
video_357.pt,letter_z
video_358.pt,letter_z
video_359.pt,letter_z
video_360.pt,letter_z
video_361.pt,letter_z
video_362.pt,letter_z
video_363.pt,letter_z
video_364.pt,letter_3
video_365.pt,letter_3
video_366.pt,letter_3
video_367.pt,letter_3
video_368.pt,letter_3
video_369.pt,letter_3
video_370.pt,letter_3
video_371.pt,letter_1
video_372.pt,letter_1
video_373.pt,letter_1
video_374.pt,letter_1
video_375.pt,letter_1
video_376.pt,letter_1
video_377.pt,letter_1
video_378.pt,letter_c
video_379.pt,letter_c
video_380.pt,letter_c
video_381.pt,letter_c
video_382.pt,letter_c
video_383.pt,letter_c
video_384.pt,letter_c
video_385.pt,letter_4
video_386.pt,letter_4
video_387.pt,letter_4
video_388.pt,letter_4
video_389.pt,letter_4
video_390.pt,letter_4
video_391.pt,letter_4
video_392.pt,letter_p
video_393.pt,letter_p
video_394.pt,letter_p
video_395.pt,letter_p
video_396.pt,letter_p
video_397.pt,letter_p
video_398.pt,letter_p
video_399.pt,letter_9
video_400.pt,letter_9
video_401.pt,letter_9
video_402.pt,letter_9
video_403.pt,letter_9
video_404.pt,letter_9
video_405.pt,letter_9
video_406.pt,letter_l
video_407.pt,letter_l
video_408.pt,letter_l
video_409.pt,letter_l
video_410.pt,letter_l
video_411.pt,letter_l
video_412.pt,letter_l
video_413.pt,letter_6
video_414.pt,letter_6
video_415.pt,letter_6
video_416.pt,letter_6
video_417.pt,letter_6
video_418.pt,letter_6
video_419.pt,letter_6
video_420.pt,letter_w
video_421.pt,letter_w
video_422.pt,letter_w
video_423.pt,letter_w
video_424.pt,letter_w
video_425.pt,letter_w
video_426.pt,letter_w
video_427.pt,letter_d
video_428.pt,letter_d
video_429.pt,letter_d
video_430.pt,letter_d
video_431.pt,letter_d
video_432.pt,letter_d
video_433.pt,letter_d
video_434.pt,letter_j
video_435.pt,letter_j
video_436.pt,letter_j
video_437.pt,letter_j
video_438.pt,letter_j
video_439.pt,letter_j
video_440.pt,letter_j
